tic,source,class
14949670,added_myself,DSCT_BCEP
14973955,added_myself,INSTRUMENT/JUNK
14978554,added_myself,INSTRUMENT/JUNK
15037635,added_myself,SOLARLIKE
15037792,added_myself,INSTRUMENT/JUNK
15103586,added_myself,CONTACT_ROT
15124839,added_myself,CONTACT_ROT
15127886,added_myself,ECLIPSE
15246650,added_myself,SOLARLIKE
15296627,added_myself,INSTRUMENT/JUNK
15326736,added_myself,INSTRUMENT/JUNK
15391024,added_myself,DSCT_BCEP
15394206,added_myself,CONTACT_ROT
15424197,added_myself,ECLIPSE
15461313,added_myself,INSTRUMENT/JUNK
15792644,added_myself,CONTACT_ROT
15794890,added_myself,INSTRUMENT/JUNK
16113974,added_myself,CONTACT_ROT
16405442,added_myself,INSTRUMENT/JUNK
16407760,added_myself,INSTRUMENT/JUNK
16412776,added_myself,INSTRUMENT/JUNK
16540276,tessv2,RRLYR_CEPH
16541570,added_myself,DSCT_BCEP
16542249,added_myself,SOLARLIKE
16544895,added_myself,DSCT_BCEP
16625644,added_myself,SOLARLIKE
16735261,added_myself,CONTACT_ROT
16741835,added_myself,INSTRUMENT/JUNK
16748234,added_myself,SOLARLIKE
16781456,added_myself,ECLIPSE
16942932,added_myself,SOLARLIKE
17370616,added_myself,DSCT_BCEP
17925349,added_myself,CONTACT_ROT
17999766,added_myself,INSTRUMENT/JUNK
18109220,added_myself,ECLIPSE
20608098,tessv2,RRLYR_CEPH
21018571,training_set_em1,CONTACT_ROT
21031802,training_set_em1,DSCT_BCEP
21123653,training_set_em1,DSCT_BCEP
21125328,tessv2,RRLYR_CEPH
21179365,training_set_em1,GDOR_SPB
21229078,training_set_em1,GDOR_SPB
21229347,added_myself,SOLARLIKE
21277622,added_myself,SOLARLIKE
22127581,tessv2,RRLYR_CEPH
23532972,tessv2,RRLYR_CEPH
25264579,added_myself,SOLARLIKE
25270814,added_myself,ECLIPSE
25339064,added_myself,SOLARLIKE
25346769,added_myself,SOLARLIKE
25402806,added_myself,INSTRUMENT/JUNK
25485950,added_myself,CONTACT_ROT
25634441,added_myself,SOLARLIKE
26412793,added_myself,INSTRUMENT/JUNK
26412815,tessv1,ECLIPSE
26413227,added_myself,INSTRUMENT/JUNK
26413284,tessv1,CONTACT_ROT
26414919,tessv1,DSCT_BCEP
26415382,tessv1,CONTACT_ROT
26416811,tessv1,APERIODIC
26416999,tessv1,DSCT_BCEP
26417170,tessv1,CONTACT_ROT
26417202,tessv1,CONTACT_ROT
26418651,added_myself,CONTACT_ROT
26418690,tessv1,CONTACT_ROT
26418928,tessv1,CONTACT_ROT
26472767,added_myself,INSTRUMENT/JUNK
26473474,added_myself,INSTRUMENT/JUNK
26473669,added_myself,INSTRUMENT/JUNK
26474332,added_myself,INSTRUMENT/JUNK
26474401,tessv1,GDOR_SPB
26488265,added_myself,INSTRUMENT/JUNK
26492600,added_myself,INSTRUMENT/JUNK
26493653,tessv1,CONTACT_ROT
26538996,tessv1,CONTACT_ROT
26540109,tessv1,ECLIPSE
26540667,tessv1,APERIODIC
26540683,added_myself,INSTRUMENT/JUNK
26541623,tessv1,CONTACT_ROT
26541743,tessv1,DSCT_BCEP
26542730,tessv1,ECLIPSE
26545686,added_myself,INSTRUMENT/JUNK
26581700,added_myself,SOLARLIKE
26581908,tessv1,APERIODIC
26583886,added_myself,INSTRUMENT/JUNK
26584043,tessv1,CONTACT_ROT
26585042,tessv1,CONTACT_ROT
26596620,tessv1,APERIODIC
26596762,tessv1,DSCT_BCEP
26597768,tessv1,APERIODIC
26598055,added_myself,INSTRUMENT/JUNK
26656583,tessv1,ECLIPSE
26656752,tessv1,GDOR_SPB
26656764,tessv1,CONTACT_ROT
26656834,added_myself,INSTRUMENT/JUNK
26656909,tessv1,APERIODIC
26657044,tessv1,CONTACT_ROT
26657632,added_myself,INSTRUMENT/JUNK
26658250,tessv2,RRLYR_CEPH
26664518,added_myself,SOLARLIKE
26666696,added_myself,INSTRUMENT/JUNK
26748301,tessv1,CONTACT_ROT
26748388,tessv1,GDOR_SPB
26748660,added_myself,INSTRUMENT/JUNK
26749728,tessv1,CONTACT_ROT
26750156,tessv1,CONTACT_ROT
26752320,tessv1,APERIODIC
26752431,tessv1,SOLARLIKE
26752496,added_myself,INSTRUMENT/JUNK
26752826,tessv1,DSCT_BCEP
26810535,added_myself,INSTRUMENT/JUNK
26811497,added_myself,SOLARLIKE
26811827,added_myself,INSTRUMENT/JUNK
26814392,tessv1,CONTACT_ROT
26815338,tessv1,CONTACT_ROT
26815529,tessv1,GDOR_SPB
26816524,tessv1,GDOR_SPB
26816693,tessv1,DSCT_BCEP
26817200,tessv1,APERIODIC
26818007,tessv1,APERIODIC
26818025,tessv1,SOLARLIKE
26818398,added_myself,INSTRUMENT/JUNK
26879163,added_myself,CONTACT_ROT
26884370,added_myself,INSTRUMENT/JUNK
26885166,added_myself,INSTRUMENT/JUNK
26885617,tessv1,CONTACT_ROT
26885639,added_myself,INSTRUMENT/JUNK
26885854,tessv1,GDOR_SPB
26886095,added_myself,INSTRUMENT/JUNK
26887731,added_myself,INSTRUMENT/JUNK
26960175,tessv1,SOLARLIKE
26960328,added_myself,CONTACT_ROT
26960433,tessv1,GDOR_SPB
26960609,tessv1,GDOR_SPB
26960731,tessv1,CONTACT_ROT
26960990,tessv1,APERIODIC
26961025,tessv1,APERIODIC
26961156,tessv1,SOLARLIKE
26961456,tessv1,SOLARLIKE
26961747,tessv1,APERIODIC
26962050,tessv1,CONTACT_ROT
26964135,tessv1,APERIODIC
26964718,added_myself,INSTRUMENT/JUNK
26964775,added_myself,INSTRUMENT/JUNK
26970468,added_myself,CONTACT_ROT
27006188,added_myself,INSTRUMENT/JUNK
27006215,tessv1,APERIODIC
27006284,tessv1,ECLIPSE
27006864,added_myself,ECLIPSE
27006880,tessv1,ECLIPSE
27007237,tessv1,CONTACT_ROT
27010220,tessv1,ECLIPSE
27010891,tessv1,APERIODIC
27012451,added_myself,INSTRUMENT/JUNK
27013589,tessv1,DSCT_BCEP
27013969,tessv1,CONTACT_ROT
27014101,added_myself,INSTRUMENT/JUNK
27014615,tessv1,CONTACT_ROT
27081748,tessv1,ECLIPSE
27082324,tessv1,ECLIPSE
27082546,added_myself,INSTRUMENT/JUNK
27083645,added_myself,INSTRUMENT/JUNK
27084126,added_myself,INSTRUMENT/JUNK
27182998,added_myself,SOLARLIKE
27183012,added_myself,SOLARLIKE
27183599,tessv1,GDOR_SPB
27183754,tessv1,CONTACT_ROT
27186402,added_myself,INSTRUMENT/JUNK
27186791,tessv1,CONTACT_ROT
27187224,added_myself,INSTRUMENT/JUNK
27187949,added_myself,INSTRUMENT/JUNK
27188070,tessv1,APERIODIC
27188977,added_myself,INSTRUMENT/JUNK
27189951,added_myself,INSTRUMENT/JUNK
27227596,added_myself,SOLARLIKE
27229732,added_myself,INSTRUMENT/JUNK
27231993,tessv1,DSCT_BCEP
27233374,tessv1,APERIODIC
27234325,tessv1,CONTACT_ROT
27234471,tessv1,ECLIPSE
27234952,tessv1,GDOR_SPB
27235037,tessv1,DSCT_BCEP
27235862,added_myself,INSTRUMENT/JUNK
27235880,tessv1,SOLARLIKE
27236076,tessv1,GDOR_SPB
27238348,added_myself,SOLARLIKE
27238819,tessv1,CONTACT_ROT
27239060,tessv1,DSCT_BCEP
27239591,added_myself,INSTRUMENT/JUNK
27239847,added_myself,INSTRUMENT/JUNK
27240103,added_myself,INSTRUMENT/JUNK
27240180,added_myself,INSTRUMENT/JUNK
27240276,added_myself,INSTRUMENT/JUNK
27240318,tessv1,GDOR_SPB
27307738,added_myself,INSTRUMENT/JUNK
27307747,added_myself,INSTRUMENT/JUNK
27308056,tessv1,DSCT_BCEP
27308254,tessv1,ECLIPSE
27308372,tessv1,CONTACT_ROT
27308818,tessv1,CONTACT_ROT
27309163,added_myself,INSTRUMENT/JUNK
27309239,tessv1,DSCT_BCEP
27309437,tessv1,SOLARLIKE
27309476,added_myself,INSTRUMENT/JUNK
27309495,added_myself,INSTRUMENT/JUNK
27312260,added_myself,SOLARLIKE
27312264,added_myself,SOLARLIKE
27312871,added_myself,INSTRUMENT/JUNK
27317485,added_myself,SOLARLIKE
27388957,tessv1,SOLARLIKE
27389070,tessv1,GDOR_SPB
27390263,added_myself,INSTRUMENT/JUNK
27390436,added_myself,INSTRUMENT/JUNK
27390483,added_myself,INSTRUMENT/JUNK
27390740,tessv1,CONTACT_ROT
27391113,tessv1,CONTACT_ROT
27391284,tessv1,ECLIPSE
27391815,tessv1,GDOR_SPB
27392076,tessv1,DSCT_BCEP
27392497,added_myself,INSTRUMENT/JUNK
27393686,added_myself,INSTRUMENT/JUNK
27394171,added_myself,INSTRUMENT/JUNK
27394445,added_myself,SOLARLIKE
27394471,added_myself,INSTRUMENT/JUNK
27394621,added_myself,INSTRUMENT/JUNK
27394769,tessv1,CONTACT_ROT
27394788,tessv1,CONTACT_ROT
27395625,tessv1,GDOR_SPB
27395758,tessv1,ECLIPSE
27395800,tessv1,GDOR_SPB
27395961,added_myself,INSTRUMENT/JUNK
27396935,tessv1,DSCT_BCEP
27397023,added_myself,INSTRUMENT/JUNK
27397174,added_myself,INSTRUMENT/JUNK
27397641,tessv1,CONTACT_ROT
27397998,tessv1,GDOR_SPB
27398219,tessv1,CONTACT_ROT
27398351,tessv1,APERIODIC
27400916,added_myself,SOLARLIKE
27455104,tessv1,DSCT_BCEP
27455604,added_myself,CONTACT_ROT
27456303,tessv1,APERIODIC
27456360,tessv1,GDOR_SPB
27456464,tessv1,CONTACT_ROT
27456618,added_myself,INSTRUMENT/JUNK
27456789,tessv1,CONTACT_ROT
27457833,added_myself,INSTRUMENT/JUNK
27457853,added_myself,INSTRUMENT/JUNK
27458175,added_myself,INSTRUMENT/JUNK
27458214,tessv1,GDOR_SPB
27458328,tessv1,DSCT_BCEP
27458833,added_myself,INSTRUMENT/JUNK
27460001,added_myself,INSTRUMENT/JUNK
27530540,added_myself,INSTRUMENT/JUNK
27530931,tessv1,ECLIPSE
27531336,added_myself,INSTRUMENT/JUNK
27531506,tessv1,CONTACT_ROT
27532447,tessv1,SOLARLIKE
27532997,added_myself,SOLARLIKE
27533175,added_myself,INSTRUMENT/JUNK
27533221,tessv1,DSCT_BCEP
27533867,added_myself,INSTRUMENT/JUNK
27534192,added_myself,INSTRUMENT/JUNK
27534294,tessv1,DSCT_BCEP
27639466,tessv1,CONTACT_ROT
27639506,added_myself,INSTRUMENT/JUNK
27639785,added_myself,INSTRUMENT/JUNK
27639867,tessv1,APERIODIC
27640439,tessv1,GDOR_SPB
27640896,tessv1,SOLARLIKE
27640946,added_myself,INSTRUMENT/JUNK
27641822,tessv1,DSCT_BCEP
27641829,tessv1,DSCT_BCEP
27642083,added_myself,INSTRUMENT/JUNK
27642226,tessv1,CONTACT_ROT
27642344,added_myself,INSTRUMENT/JUNK
27643191,tessv1,SOLARLIKE
27643535,added_myself,INSTRUMENT/JUNK
27643613,tessv1,CONTACT_ROT
27643861,tessv1,GDOR_SPB
27644083,added_myself,INSTRUMENT/JUNK
27644258,added_myself,CONTACT_ROT
27645337,tessv1,CONTACT_ROT
27645412,tessv1,CONTACT_ROT
27647289,tessv1,CONTACT_ROT
27647401,added_myself,INSTRUMENT/JUNK
27647953,tessv1,ECLIPSE
27648080,added_myself,INSTRUMENT/JUNK
27648240,added_myself,INSTRUMENT/JUNK
27648275,added_myself,INSTRUMENT/JUNK
27649257,added_myself,INSTRUMENT/JUNK
27649338,tessv1,GDOR_SPB
27685110,tessv1,DSCT_BCEP
27685148,added_myself,SOLARLIKE
27685150,added_myself,SOLARLIKE
27685177,added_myself,INSTRUMENT/JUNK
27685925,added_myself,SOLARLIKE
27686608,added_myself,INSTRUMENT/JUNK
27687095,tessv1,APERIODIC
27687103,added_myself,INSTRUMENT/JUNK
27694250,added_myself,INSTRUMENT/JUNK
27695013,tessv1,DSCT_BCEP
27695034,added_myself,SOLARLIKE
27695314,added_myself,INSTRUMENT/JUNK
27695465,added_myself,INSTRUMENT/JUNK
27695618,added_myself,CONTACT_ROT
27696215,tessv1,CONTACT_ROT
27731228,added_myself,ECLIPSE
27766659,added_myself,INSTRUMENT/JUNK
27766676,tessv1,ECLIPSE
27766762,added_myself,INSTRUMENT/JUNK
27766776,added_myself,INSTRUMENT/JUNK
27767078,added_myself,INSTRUMENT/JUNK
27767184,tessv1,ECLIPSE
27767306,tessv1,DSCT_BCEP
27767544,tessv1,DSCT_BCEP
27768052,added_myself,INSTRUMENT/JUNK
27768381,tessv1,DSCT_BCEP
27768398,tessv1,GDOR_SPB
27768435,tessv1,DSCT_BCEP
27769923,tessv1,APERIODIC
27770269,tessv1,ECLIPSE
27771077,added_myself,INSTRUMENT/JUNK
27771987,added_myself,INSTRUMENT/JUNK
27776385,tessv1,ECLIPSE
27776524,tessv1,GDOR_SPB
27776818,tessv1,DSCT_BCEP
27777298,added_myself,INSTRUMENT/JUNK
27777379,tessv1,DSCT_BCEP
27777459,added_myself,INSTRUMENT/JUNK
27777576,added_myself,INSTRUMENT/JUNK
27777860,tessv1,CONTACT_ROT
27778209,added_myself,INSTRUMENT/JUNK
27778213,tessv1,CONTACT_ROT
27778224,tessv1,ECLIPSE
27778693,tessv1,DSCT_BCEP
27779164,added_myself,INSTRUMENT/JUNK
27784240,added_myself,INSTRUMENT/JUNK
27785042,added_myself,INSTRUMENT/JUNK
27843762,added_myself,SOLARLIKE
27843942,tessv1,ECLIPSE
27844066,tessv1,ECLIPSE
27844390,tessv1,CONTACT_ROT
27844498,tessv1,ECLIPSE
27845281,tessv1,CONTACT_ROT
27845494,added_myself,INSTRUMENT/JUNK
27845495,added_myself,INSTRUMENT/JUNK
27845677,tessv1,ECLIPSE
27846233,tessv1,DSCT_BCEP
27846251,added_myself,INSTRUMENT/JUNK
27846290,tessv1,DSCT_BCEP
27846666,tessv1,CONTACT_ROT
27847454,tessv1,CONTACT_ROT
27847920,tessv1,GDOR_SPB
27890854,added_myself,SOLARLIKE
27904150,tessv1,ECLIPSE
27905417,added_myself,INSTRUMENT/JUNK
27910780,added_myself,INSTRUMENT/JUNK
27911411,added_myself,INSTRUMENT/JUNK
27911725,tessv1,DSCT_BCEP
27911979,tessv1,CONTACT_ROT
27912333,added_myself,INSTRUMENT/JUNK
27912375,tessv1,DSCT_BCEP
27912896,tessv1,DSCT_BCEP
27912920,tessv1,DSCT_BCEP
27913174,added_myself,INSTRUMENT/JUNK
27914890,tessv1,CONTACT_ROT
27915323,tessv2,RRLYR_CEPH
27915909,tessv1,ECLIPSE
27987781,tessv1,GDOR_SPB
27988341,tessv1,GDOR_SPB
27988443,added_myself,INSTRUMENT/JUNK
27990159,tessv1,SOLARLIKE
27991072,tessv1,ECLIPSE
27991164,added_myself,SOLARLIKE
27991843,tessv1,ECLIPSE
27992231,tessv1,CONTACT_ROT
27992293,tessv1,CONTACT_ROT
27993670,tessv1,GDOR_SPB
27997434,added_myself,INSTRUMENT/JUNK
27999023,added_myself,DSCT_BCEP
28080750,added_myself,INSTRUMENT/JUNK
28083017,tessv1,SOLARLIKE
28083382,added_myself,INSTRUMENT/JUNK
28083619,added_myself,INSTRUMENT/JUNK
28085125,added_myself,INSTRUMENT/JUNK
28085220,tessv1,GDOR_SPB
28085296,tessv1,GDOR_SPB
28085803,added_myself,INSTRUMENT/JUNK
28085868,tessv1,DSCT_BCEP
28087022,added_myself,INSTRUMENT/JUNK
28088462,added_myself,INSTRUMENT/JUNK
28091062,tessv1,DSCT_BCEP
28158722,added_myself,INSTRUMENT/JUNK
28159019,tessv1,ECLIPSE
28159482,tessv1,GDOR_SPB
28160087,added_myself,INSTRUMENT/JUNK
28164741,added_myself,SOLARLIKE
28167632,added_myself,SOLARLIKE
28226273,tessv1,ECLIPSE
28226363,tessv1,GDOR_SPB
28226425,tessv1,SOLARLIKE
28226431,added_myself,SOLARLIKE
28226642,tessv1,APERIODIC
28227336,tessv1,GDOR_SPB
28227489,tessv1,GDOR_SPB
28228946,tessv1,CONTACT_ROT
28229306,added_myself,SOLARLIKE
28230433,tessv1,GDOR_SPB
28233428,added_myself,INSTRUMENT/JUNK
28233684,tessv1,CONTACT_ROT
28233751,added_myself,INSTRUMENT/JUNK
28234214,added_myself,SOLARLIKE
28236443,added_myself,ECLIPSE
28237417,added_myself,INSTRUMENT/JUNK
28305583,added_myself,SOLARLIKE
28306222,added_myself,SOLARLIKE
28306907,tessv1,CONTACT_ROT
28307185,added_myself,INSTRUMENT/JUNK
28307308,tessv1,APERIODIC
28307374,tessv1,CONTACT_ROT
28308507,tessv1,CONTACT_ROT
28308520,added_myself,INSTRUMENT/JUNK
28308753,added_myself,INSTRUMENT/JUNK
28308828,added_myself,INSTRUMENT/JUNK
28356213,tessv1,CONTACT_ROT
28356403,tessv1,GDOR_SPB
28356739,added_myself,DSCT_BCEP
28357285,tessv1,ECLIPSE
28357708,tessv1,CONTACT_ROT
28359740,added_myself,DSCT_BCEP
28359831,tessv1,CONTACT_ROT
28362166,tessv1,GDOR_SPB
28362285,tessv1,CONTACT_ROT
28362690,tessv1,GDOR_SPB
28441647,added_myself,CONTACT_ROT
28441784,added_myself,SOLARLIKE
28444718,added_myself,INSTRUMENT/JUNK
28449128,added_myself,INSTRUMENT/JUNK
28449159,added_myself,INSTRUMENT/JUNK
28449295,tessv1,ECLIPSE
28449761,tessv1,SOLARLIKE
28450292,tessv1,ECLIPSE
29973650,tessv2,RRLYR_CEPH
39894585,tessv2,RRLYR_CEPH
39964832,added_myself,CONTACT_ROT
39967120,added_myself,DSCT_BCEP
40040335,added_myself,INSTRUMENT/JUNK
40213485,added_myself,INSTRUMENT/JUNK
40214956,added_myself,ECLIPSE
40221280,added_myself,SOLARLIKE
40222634,added_myself,INSTRUMENT/JUNK
40358618,added_myself,ECLIPSE
40375527,added_myself,INSTRUMENT/JUNK
40726362,added_myself,INSTRUMENT/JUNK
40827873,added_myself,DSCT_BCEP
40830749,added_myself,CONTACT_ROT
41079393,added_myself,DSCT_BCEP
41447401,added_myself,CONTACT_ROT
41448772,added_myself,DSCT_BCEP
41538358,added_myself,DSCT_BCEP
41546397,tessv2,RRLYR_CEPH
41549062,added_myself,ECLIPSE
41681310,added_myself,DSCT_BCEP
41767300,added_myself,CONTACT_ROT
41997870,added_myself,DSCT_BCEP
41999412,added_myself,INSTRUMENT/JUNK
42005068,added_myself,INSTRUMENT/JUNK
42005643,added_myself,DSCT_BCEP
42254555,added_myself,INSTRUMENT/JUNK
42362686,tessv2,RRLYR_CEPH
42484844,added_myself,ECLIPSE
42835935,added_myself,ECLIPSE
42844889,added_myself,DSCT_BCEP
42942286,added_myself,ECLIPSE
43058733,added_myself,INSTRUMENT/JUNK
43197128,added_myself,CONTACT_ROT
43306120,added_myself,CONTACT_ROT
43311720,added_myself,CONTACT_ROT
43650992,added_myself,ECLIPSE
43657802,added_myself,INSTRUMENT/JUNK
43775708,added_myself,CONTACT_ROT
43780200,added_myself,SOLARLIKE
43789275,tessv2,RRLYR_CEPH
43881045,added_myself,DSCT_BCEP
43906823,tessv2,RRLYR_CEPH
47624307,training_set_em1,GDOR_SPB
47624602,training_set_em1,DSCT_BCEP
47625698,training_set_em1,DSCT_BCEP
47670626,training_set_em1,DSCT_BCEP
47729425,added_myself,SOLARLIKE
47734464,training_set_em1,DSCT_BCEP
47757957,added_myself,SOLARLIKE
47761949,added_myself,SOLARLIKE
47818858,training_set_em1,GDOR_SPB
47875271,training_set_em1,DSCT_BCEP
47875757,training_set_em1,DSCT_BCEP
47875843,added_myself,CONTACT_ROT
47932789,training_set_em1,GDOR_SPB
47933291,training_set_em1,GDOR_SPB
47933546,training_set_em1,GDOR_SPB
47937457,tessv1,APERIODIC
47974951,added_myself,INSTRUMENT/JUNK
47976947,tessv1,DSCT_BCEP
47977037,tessv1,SOLARLIKE
47977314,added_myself,INSTRUMENT/JUNK
47977481,tessv1,SOLARLIKE
47977528,added_myself,INSTRUMENT/JUNK
47977957,added_myself,CONTACT_ROT
48020087,added_myself,CONTACT_ROT
48020235,training_set_em1,DSCT_BCEP
48030563,added_myself,INSTRUMENT/JUNK
48030646,added_myself,INSTRUMENT/JUNK
48031736,added_myself,INSTRUMENT/JUNK
48084407,added_myself,ECLIPSE
48092140,tessv1,CONTACT_ROT
48131406,added_myself,INSTRUMENT/JUNK
48132045,tessv1,APERIODIC
48135956,training_set_em1,DSCT_BCEP
48138746,tessv2,RRLYR_CEPH
48188415,tessv1,APERIODIC
48188899,tessv1,DSCT_BCEP
48189126,tessv1,CONTACT_ROT
48189849,added_myself,INSTRUMENT/JUNK
48193235,training_set_em1,GDOR_SPB
48216159,tessv1,APERIODIC
48216569,added_myself,INSTRUMENT/JUNK
48216671,added_myself,INSTRUMENT/JUNK
48217145,tessv1,DSCT_BCEP
48217244,added_myself,INSTRUMENT/JUNK
48217288,tessv1,APERIODIC
48217895,added_myself,INSTRUMENT/JUNK
48304492,added_myself,INSTRUMENT/JUNK
48305525,tessv1,GDOR_SPB
48305607,tessv1,SOLARLIKE
48307317,added_myself,CONTACT_ROT
48308377,added_myself,SOLARLIKE
48309840,training_set_em1,GDOR_SPB
48352051,added_myself,CONTACT_ROT
48352254,added_myself,DSCT_BCEP
48352519,tessv1,CONTACT_ROT
48353598,tessv1,APERIODIC
48354105,added_myself,INSTRUMENT/JUNK
48354181,tessv1,CONTACT_ROT
48354235,added_myself,INSTRUMENT/JUNK
48355111,tessv1,SOLARLIKE
48419079,added_myself,INSTRUMENT/JUNK
48420131,added_myself,INSTRUMENT/JUNK
48420344,added_myself,INSTRUMENT/JUNK
48420993,added_myself,INSTRUMENT/JUNK
48421264,tessv1,CONTACT_ROT
48421497,tessv1,CONTACT_ROT
48421539,added_myself,INSTRUMENT/JUNK
48421703,added_myself,INSTRUMENT/JUNK
48421881,tessv1,SOLARLIKE
48448163,added_myself,INSTRUMENT/JUNK
48448209,added_myself,INSTRUMENT/JUNK
48448498,added_myself,INSTRUMENT/JUNK
48450186,tessv1,CONTACT_ROT
48450203,tessv1,CONTACT_ROT
48450654,added_myself,INSTRUMENT/JUNK
48450865,added_myself,INSTRUMENT/JUNK
48451687,added_myself,INSTRUMENT/JUNK
48451718,tessv1,CONTACT_ROT
48451854,added_myself,INSTRUMENT/JUNK
48499148,added_myself,SOLARLIKE
48499237,added_myself,ECLIPSE
48500835,training_set_em1,GDOR_SPB
48501006,training_set_em1,DSCT_BCEP
48503940,added_myself,INSTRUMENT/JUNK
48504285,added_myself,INSTRUMENT/JUNK
48504566,added_myself,INSTRUMENT/JUNK
48505311,tessv1,GDOR_SPB
48505344,tessv1,CONTACT_ROT
48505564,added_myself,INSTRUMENT/JUNK
48506689,tessv1,RRLYR_CEPH
48507019,tessv1,ECLIPSE
48528176,tessv1,CONTACT_ROT
48528720,tessv1,RRLYR_CEPH
53614975,added_myself,INSTRUMENT/JUNK
55724392,added_myself,INSTRUMENT/JUNK
55752995,added_myself,ECLIPSE
55761670,added_myself,SOLARLIKE
55763052,added_myself,INSTRUMENT/JUNK
57593719,tessv2,RRLYR_CEPH
62240130,added_myself,ECLIPSE
62514024,added_myself,DSCT_BCEP
62514871,added_myself,CONTACT_ROT
62770229,tessv2,RRLYR_CEPH
62869847,added_myself,INSTRUMENT/JUNK
62874720,tessv2,RRLYR_CEPH
62916522,tessv1,DSCT_BCEP
62916820,tessv1,APERIODIC
62916842,tessv1,DSCT_BCEP
62917470,added_myself,INSTRUMENT/JUNK
62962819,tessv2,RRLYR_CEPH
63001248,tessv1,ECLIPSE
63001337,added_myself,INSTRUMENT/JUNK
63001484,tessv1,CONTACT_ROT
63001919,tessv1,DSCT_BCEP
63001962,tessv1,DSCT_BCEP
63004329,tessv1,ECLIPSE
63004727,tessv1,APERIODIC
63004979,tessv1,APERIODIC
63005531,tessv1,APERIODIC
63005742,tessv1,DSCT_BCEP
63006029,tessv1,DSCT_BCEP
63006369,tessv1,DSCT_BCEP
63006424,tessv1,GDOR_SPB
63006692,tessv1,APERIODIC
63006717,tessv1,DSCT_BCEP
63007067,tessv1,ECLIPSE
63007353,tessv1,DSCT_BCEP
63008713,added_myself,INSTRUMENT/JUNK
63009212,tessv1,DSCT_BCEP
63009597,tessv1,ECLIPSE
63063516,tessv2,RRLYR_CEPH
63067803,added_myself,INSTRUMENT/JUNK
63068133,tessv1,CONTACT_ROT
63069279,tessv1,APERIODIC
63070019,tessv1,GDOR_SPB
63070708,added_myself,SOLARLIKE
63070887,tessv1,CONTACT_ROT
63070960,added_myself,ECLIPSE
63071112,tessv1,CONTACT_ROT
63071165,tessv1,ECLIPSE
63072477,tessv1,APERIODIC
63072602,tessv1,CONTACT_ROT
63073409,added_myself,SOLARLIKE
63074282,tessv1,ECLIPSE
63074339,tessv1,APERIODIC
63075383,tessv1,GDOR_SPB
63076369,tessv1,ECLIPSE
63121703,tessv1,ECLIPSE
63121842,tessv1,APERIODIC
63121862,tessv1,ECLIPSE
63123041,tessv1,APERIODIC
63123885,tessv1,APERIODIC
63123942,tessv1,CONTACT_ROT
63124263,tessv1,APERIODIC
63125606,tessv1,GDOR_SPB
63126102,tessv1,ECLIPSE
63126468,added_myself,INSTRUMENT/JUNK
63126905,tessv1,DSCT_BCEP
63126947,tessv1,DSCT_BCEP
63126950,tessv1,ECLIPSE
63127104,tessv1,GDOR_SPB
63128356,added_myself,DSCT_BCEP
