label,path
INSTRUMENT/JUNK,lightcurves_raw\tessv4_test\batch_1\mastDownload\HLSP\hlsp_qlp_tess_ffi_s0015-0000000011479012_tess_v01_llc\hlsp_qlp_tess_ffi_s0015-0000000011479012_tess_v01_llc.fits
DSCT_BCEP,lightcurves_raw\tessv4_test\batch_1\mastDownload\HLSP\hlsp_qlp_tess_ffi_s0014-0000000011485304_tess_v01_llc\hlsp_qlp_tess_ffi_s0014-0000000011485304_tess_v01_llc.fits
DSCT_BCEP,lightcurves_raw\tessv4_test\batch_1\mastDownload\HLSP\hlsp_qlp_tess_ffi_s0015-0000000011485304_tess_v01_llc\hlsp_qlp_tess_ffi_s0015-0000000011485304_tess_v01_llc.fits
RRLYR_CEPH,lightcurves_raw\tessv4_test\batch_1\mastDownload\HLSP\hlsp_qlp_tess_ffi_s0014-0000000011508103_tess_v01_llc\hlsp_qlp_tess_ffi_s0014-0000000011508103_tess_v01_llc.fits
INSTRUMENT/JUNK,lightcurves_raw\tessv4_test\batch_1\mastDownload\HLSP\hlsp_qlp_tess_ffi_s0014-0000000011587029_tess_v01_llc\hlsp_qlp_tess_ffi_s0014-0000000011587029_tess_v01_llc.fits
INSTRUMENT/JUNK,lightcurves_raw\tessv4_test\batch_1\mastDownload\HLSP\hlsp_qlp_tess_ffi_s0015-0000000011587029_tess_v01_llc\hlsp_qlp_tess_ffi_s0015-0000000011587029_tess_v01_llc.fits
DSCT_BCEP,lightcurves_raw\tessv4_test\batch_1\mastDownload\HLSP\hlsp_qlp_tess_ffi_s0014-0000000011707257_tess_v01_llc\hlsp_qlp_tess_ffi_s0014-0000000011707257_tess_v01_llc.fits
DSCT_BCEP,lightcurves_raw\tessv4_test\batch_1\mastDownload\HLSP\hlsp_qlp_tess_ffi_s0015-0000000011707257_tess_v01_llc\hlsp_qlp_tess_ffi_s0015-0000000011707257_tess_v01_llc.fits
DSCT_BCEP,lightcurves_raw\tessv4_test\batch_1\mastDownload\HLSP\hlsp_qlp_tess_ffi_s0014-0000000011794381_tess_v01_llc\hlsp_qlp_tess_ffi_s0014-0000000011794381_tess_v01_llc.fits
DSCT_BCEP,lightcurves_raw\tessv4_test\batch_1\mastDownload\HLSP\hlsp_qlp_tess_ffi_s0015-0000000011794381_tess_v01_llc\hlsp_qlp_tess_ffi_s0015-0000000011794381_tess_v01_llc.fits
CONTACT_ROT,lightcurves_raw\tessv4_test\batch_1\mastDownload\HLSP\hlsp_qlp_tess_ffi_s0014-0000000011918658_tess_v01_llc\hlsp_qlp_tess_ffi_s0014-0000000011918658_tess_v01_llc.fits
CONTACT_ROT,lightcurves_raw\tessv4_test\batch_1\mastDownload\HLSP\hlsp_qlp_tess_ffi_s0015-0000000011918658_tess_v01_llc\hlsp_qlp_tess_ffi_s0015-0000000011918658_tess_v01_llc.fits
INSTRUMENT/JUNK,lightcurves_raw\tessv4_test\batch_1\mastDownload\HLSP\hlsp_qlp_tess_ffi_s0015-0000000011938914_tess_v01_llc\hlsp_qlp_tess_ffi_s0015-0000000011938914_tess_v01_llc.fits
INSTRUMENT/JUNK,lightcurves_raw\tessv4_test\batch_1\mastDownload\HLSP\hlsp_qlp_tess_ffi_s0021-0000000011938914_tess_v01_llc\hlsp_qlp_tess_ffi_s0021-0000000011938914_tess_v01_llc.fits
INSTRUMENT/JUNK,lightcurves_raw\tessv4_test\batch_1\mastDownload\HLSP\hlsp_qlp_tess_ffi_s0022-0000000011938914_tess_v01_llc\hlsp_qlp_tess_ffi_s0022-0000000011938914_tess_v01_llc.fits
RRLYR_CEPH,lightcurves_raw\tessv4_test\batch_1\mastDownload\HLSP\hlsp_qlp_tess_ffi_s0014-0000000011994205_tess_v01_llc\hlsp_qlp_tess_ffi_s0014-0000000011994205_tess_v01_llc.fits
RRLYR_CEPH,lightcurves_raw\tessv4_test\batch_1\mastDownload\HLSP\hlsp_qlp_tess_ffi_s0014-0000000012149541_tess_v01_llc\hlsp_qlp_tess_ffi_s0014-0000000012149541_tess_v01_llc.fits
RRLYR_CEPH,lightcurves_raw\tessv4_test\batch_1\mastDownload\HLSP\hlsp_qlp_tess_ffi_s0015-0000000012149541_tess_v01_llc\hlsp_qlp_tess_ffi_s0015-0000000012149541_tess_v01_llc.fits
SOLARLIKE,lightcurves_raw\tessv4_test\batch_1\mastDownload\HLSP\hlsp_qlp_tess_ffi_s0014-0000000012244808_tess_v01_llc\hlsp_qlp_tess_ffi_s0014-0000000012244808_tess_v01_llc.fits
SOLARLIKE,lightcurves_raw\tessv4_test\batch_1\mastDownload\HLSP\hlsp_qlp_tess_ffi_s0015-0000000012244808_tess_v01_llc\hlsp_qlp_tess_ffi_s0015-0000000012244808_tess_v01_llc.fits
DSCT_BCEP,lightcurves_raw\tessv4_test\batch_1\mastDownload\HLSP\hlsp_qlp_tess_ffi_s0014-0000000012245937_tess_v01_llc\hlsp_qlp_tess_ffi_s0014-0000000012245937_tess_v01_llc.fits
DSCT_BCEP,lightcurves_raw\tessv4_test\batch_1\mastDownload\HLSP\hlsp_qlp_tess_ffi_s0015-0000000012245937_tess_v01_llc\hlsp_qlp_tess_ffi_s0015-0000000012245937_tess_v01_llc.fits
ECLIPSE,lightcurves_raw\tessv4_test\batch_1\mastDownload\HLSP\hlsp_qlp_tess_ffi_s0014-0000000012501728_tess_v01_llc\hlsp_qlp_tess_ffi_s0014-0000000012501728_tess_v01_llc.fits
ECLIPSE,lightcurves_raw\tessv4_test\batch_1\mastDownload\HLSP\hlsp_qlp_tess_ffi_s0015-0000000012501728_tess_v01_llc\hlsp_qlp_tess_ffi_s0015-0000000012501728_tess_v01_llc.fits
ECLIPSE,lightcurves_raw\tessv4_test\batch_1\mastDownload\HLSP\hlsp_qlp_tess_ffi_s0014-0000000012504476_tess_v01_llc\hlsp_qlp_tess_ffi_s0014-0000000012504476_tess_v01_llc.fits
ECLIPSE,lightcurves_raw\tessv4_test\batch_1\mastDownload\HLSP\hlsp_qlp_tess_ffi_s0015-0000000012504476_tess_v01_llc\hlsp_qlp_tess_ffi_s0015-0000000012504476_tess_v01_llc.fits
CONTACT_ROT,lightcurves_raw\tessv4_test\batch_1\mastDownload\HLSP\hlsp_qlp_tess_ffi_s0014-0000000012521539_tess_v01_llc\hlsp_qlp_tess_ffi_s0014-0000000012521539_tess_v01_llc.fits
CONTACT_ROT,lightcurves_raw\tessv4_test\batch_1\mastDownload\HLSP\hlsp_qlp_tess_ffi_s0015-0000000012521539_tess_v01_llc\hlsp_qlp_tess_ffi_s0015-0000000012521539_tess_v01_llc.fits
INSTRUMENT/JUNK,lightcurves_raw\tessv4_test\batch_1\mastDownload\HLSP\hlsp_qlp_tess_ffi_s0014-0000000012671735_tess_v01_llc\hlsp_qlp_tess_ffi_s0014-0000000012671735_tess_v01_llc.fits
INSTRUMENT/JUNK,lightcurves_raw\tessv4_test\batch_1\mastDownload\HLSP\hlsp_qlp_tess_ffi_s0015-0000000012671735_tess_v01_llc\hlsp_qlp_tess_ffi_s0015-0000000012671735_tess_v01_llc.fits
ECLIPSE,lightcurves_raw\tessv4_test\batch_1\mastDownload\HLSP\hlsp_qlp_tess_ffi_s0014-0000000012672945_tess_v01_llc\hlsp_qlp_tess_ffi_s0014-0000000012672945_tess_v01_llc.fits
ECLIPSE,lightcurves_raw\tessv4_test\batch_1\mastDownload\HLSP\hlsp_qlp_tess_ffi_s0015-0000000012672945_tess_v01_llc\hlsp_qlp_tess_ffi_s0015-0000000012672945_tess_v01_llc.fits
DSCT_BCEP,lightcurves_raw\tessv4_test\batch_1\mastDownload\HLSP\hlsp_qlp_tess_ffi_s0014-0000000013124801_tess_v01_llc\hlsp_qlp_tess_ffi_s0014-0000000013124801_tess_v01_llc.fits
DSCT_BCEP,lightcurves_raw\tessv4_test\batch_1\mastDownload\HLSP\hlsp_qlp_tess_ffi_s0015-0000000013124801_tess_v01_llc\hlsp_qlp_tess_ffi_s0015-0000000013124801_tess_v01_llc.fits
CONTACT_ROT,lightcurves_raw\tessv4_test\batch_1\mastDownload\HLSP\hlsp_qlp_tess_ffi_s0014-0000000013250520_tess_v01_llc\hlsp_qlp_tess_ffi_s0014-0000000013250520_tess_v01_llc.fits
CONTACT_ROT,lightcurves_raw\tessv4_test\batch_1\mastDownload\HLSP\hlsp_qlp_tess_ffi_s0015-0000000013250520_tess_v01_llc\hlsp_qlp_tess_ffi_s0015-0000000013250520_tess_v01_llc.fits
CONTACT_ROT,lightcurves_raw\tessv4_test\batch_1\mastDownload\HLSP\hlsp_qlp_tess_ffi_s0014-0000000013416020_tess_v01_llc\hlsp_qlp_tess_ffi_s0014-0000000013416020_tess_v01_llc.fits
CONTACT_ROT,lightcurves_raw\tessv4_test\batch_1\mastDownload\HLSP\hlsp_qlp_tess_ffi_s0015-0000000013416020_tess_v01_llc\hlsp_qlp_tess_ffi_s0015-0000000013416020_tess_v01_llc.fits
INSTRUMENT/JUNK,lightcurves_raw\tessv4_test\batch_1\mastDownload\HLSP\hlsp_qlp_tess_ffi_s0014-0000000013420054_tess_v01_llc\hlsp_qlp_tess_ffi_s0014-0000000013420054_tess_v01_llc.fits
INSTRUMENT/JUNK,lightcurves_raw\tessv4_test\batch_1\mastDownload\HLSP\hlsp_qlp_tess_ffi_s0015-0000000013420054_tess_v01_llc\hlsp_qlp_tess_ffi_s0015-0000000013420054_tess_v01_llc.fits
SOLARLIKE,lightcurves_raw\tessv4_test\batch_1\mastDownload\HLSP\hlsp_qlp_tess_ffi_s0015-0000000013490703_tess_v01_llc\hlsp_qlp_tess_ffi_s0015-0000000013490703_tess_v01_llc.fits
SOLARLIKE,lightcurves_raw\tessv4_test\batch_1\mastDownload\HLSP\hlsp_qlp_tess_ffi_s0015-0000000013494140_tess_v01_llc\hlsp_qlp_tess_ffi_s0015-0000000013494140_tess_v01_llc.fits
SOLARLIKE,lightcurves_raw\tessv4_test\batch_1\mastDownload\HLSP\hlsp_qlp_tess_ffi_s0015-0000000013497481_tess_v01_llc\hlsp_qlp_tess_ffi_s0015-0000000013497481_tess_v01_llc.fits
INSTRUMENT/JUNK,lightcurves_raw\tessv4_test\batch_1\mastDownload\HLSP\hlsp_qlp_tess_ffi_s0015-0000000013570336_tess_v01_llc\hlsp_qlp_tess_ffi_s0015-0000000013570336_tess_v01_llc.fits
INSTRUMENT/JUNK,lightcurves_raw\tessv4_test\batch_1\mastDownload\HLSP\hlsp_qlp_tess_ffi_s0015-0000000013574444_tess_v01_llc\hlsp_qlp_tess_ffi_s0015-0000000013574444_tess_v01_llc.fits
INSTRUMENT/JUNK,lightcurves_raw\tessv4_test\batch_1\mastDownload\HLSP\hlsp_qlp_tess_ffi_s0015-0000000013658799_tess_v01_llc\hlsp_qlp_tess_ffi_s0015-0000000013658799_tess_v01_llc.fits
CONTACT_ROT,lightcurves_raw\tessv4_test\batch_1\mastDownload\HLSP\hlsp_qlp_tess_ffi_s0014-0000000013691988_tess_v01_llc\hlsp_qlp_tess_ffi_s0014-0000000013691988_tess_v01_llc.fits
CONTACT_ROT,lightcurves_raw\tessv4_test\batch_1\mastDownload\HLSP\hlsp_qlp_tess_ffi_s0015-0000000013691988_tess_v01_llc\hlsp_qlp_tess_ffi_s0015-0000000013691988_tess_v01_llc.fits
INSTRUMENT/JUNK,lightcurves_raw\tessv4_test\batch_1\mastDownload\HLSP\hlsp_qlp_tess_ffi_s0015-0000000013798961_tess_v01_llc\hlsp_qlp_tess_ffi_s0015-0000000013798961_tess_v01_llc.fits
INSTRUMENT/JUNK,lightcurves_raw\tessv4_test\batch_1\mastDownload\HLSP\hlsp_qlp_tess_ffi_s0015-0000000013803994_tess_v01_llc\hlsp_qlp_tess_ffi_s0015-0000000013803994_tess_v01_llc.fits
SOLARLIKE,lightcurves_raw\tessv4_test\batch_1\mastDownload\HLSP\hlsp_qlp_tess_ffi_s0014-0000000013877853_tess_v01_llc\hlsp_qlp_tess_ffi_s0014-0000000013877853_tess_v01_llc.fits
SOLARLIKE,lightcurves_raw\tessv4_test\batch_1\mastDownload\HLSP\hlsp_qlp_tess_ffi_s0015-0000000013877853_tess_v01_llc\hlsp_qlp_tess_ffi_s0015-0000000013877853_tess_v01_llc.fits
CONTACT_ROT,lightcurves_raw\tessv4_test\batch_1\mastDownload\HLSP\hlsp_qlp_tess_ffi_s0014-0000000013879463_tess_v01_llc\hlsp_qlp_tess_ffi_s0014-0000000013879463_tess_v01_llc.fits
CONTACT_ROT,lightcurves_raw\tessv4_test\batch_1\mastDownload\HLSP\hlsp_qlp_tess_ffi_s0015-0000000013879463_tess_v01_llc\hlsp_qlp_tess_ffi_s0015-0000000013879463_tess_v01_llc.fits
ECLIPSE,lightcurves_raw\tessv4_test\batch_1\mastDownload\HLSP\hlsp_qlp_tess_ffi_s0014-0000000013969008_tess_v01_llc\hlsp_qlp_tess_ffi_s0014-0000000013969008_tess_v01_llc.fits
ECLIPSE,lightcurves_raw\tessv4_test\batch_1\mastDownload\HLSP\hlsp_qlp_tess_ffi_s0015-0000000013969008_tess_v01_llc\hlsp_qlp_tess_ffi_s0015-0000000013969008_tess_v01_llc.fits
SOLARLIKE,lightcurves_raw\tessv4_test\batch_1\mastDownload\HLSP\hlsp_qlp_tess_ffi_s0014-0000000013972656_tess_v01_llc\hlsp_qlp_tess_ffi_s0014-0000000013972656_tess_v01_llc.fits
SOLARLIKE,lightcurves_raw\tessv4_test\batch_1\mastDownload\HLSP\hlsp_qlp_tess_ffi_s0015-0000000013972656_tess_v01_llc\hlsp_qlp_tess_ffi_s0015-0000000013972656_tess_v01_llc.fits
CONTACT_ROT,lightcurves_raw\tessv4_test\batch_1\mastDownload\HLSP\hlsp_qlp_tess_ffi_s0014-0000000013973007_tess_v01_llc\hlsp_qlp_tess_ffi_s0014-0000000013973007_tess_v01_llc.fits
CONTACT_ROT,lightcurves_raw\tessv4_test\batch_1\mastDownload\HLSP\hlsp_qlp_tess_ffi_s0015-0000000013973007_tess_v01_llc\hlsp_qlp_tess_ffi_s0015-0000000013973007_tess_v01_llc.fits
RRLYR_CEPH,lightcurves_raw\tessv4_test\batch_1\mastDownload\HLSP\hlsp_qlp_tess_ffi_s0014-0000000014206846_tess_v01_llc\hlsp_qlp_tess_ffi_s0014-0000000014206846_tess_v01_llc.fits
RRLYR_CEPH,lightcurves_raw\tessv4_test\batch_1\mastDownload\HLSP\hlsp_qlp_tess_ffi_s0015-0000000014206846_tess_v01_llc\hlsp_qlp_tess_ffi_s0015-0000000014206846_tess_v01_llc.fits
ECLIPSE,lightcurves_raw\tessv4_test\batch_1\mastDownload\HLSP\hlsp_qlp_tess_ffi_s0014-0000000014312189_tess_v01_llc\hlsp_qlp_tess_ffi_s0014-0000000014312189_tess_v01_llc.fits
ECLIPSE,lightcurves_raw\tessv4_test\batch_1\mastDownload\HLSP\hlsp_qlp_tess_ffi_s0015-0000000014312189_tess_v01_llc\hlsp_qlp_tess_ffi_s0015-0000000014312189_tess_v01_llc.fits
DSCT_BCEP,lightcurves_raw\tessv4_test\batch_1\mastDownload\HLSP\hlsp_qlp_tess_ffi_s0014-0000000014312482_tess_v01_llc\hlsp_qlp_tess_ffi_s0014-0000000014312482_tess_v01_llc.fits
DSCT_BCEP,lightcurves_raw\tessv4_test\batch_1\mastDownload\HLSP\hlsp_qlp_tess_ffi_s0015-0000000014312482_tess_v01_llc\hlsp_qlp_tess_ffi_s0015-0000000014312482_tess_v01_llc.fits
ECLIPSE,lightcurves_raw\tessv4_test\batch_1\mastDownload\HLSP\hlsp_qlp_tess_ffi_s0014-0000000014316032_tess_v01_llc\hlsp_qlp_tess_ffi_s0014-0000000014316032_tess_v01_llc.fits
ECLIPSE,lightcurves_raw\tessv4_test\batch_1\mastDownload\HLSP\hlsp_qlp_tess_ffi_s0015-0000000014316032_tess_v01_llc\hlsp_qlp_tess_ffi_s0015-0000000014316032_tess_v01_llc.fits
CONTACT_ROT,lightcurves_raw\tessv4_test\batch_1\mastDownload\HLSP\hlsp_qlp_tess_ffi_s0014-0000000014317932_tess_v01_llc\hlsp_qlp_tess_ffi_s0014-0000000014317932_tess_v01_llc.fits
CONTACT_ROT,lightcurves_raw\tessv4_test\batch_1\mastDownload\HLSP\hlsp_qlp_tess_ffi_s0015-0000000014317932_tess_v01_llc\hlsp_qlp_tess_ffi_s0015-0000000014317932_tess_v01_llc.fits
INSTRUMENT/JUNK,lightcurves_raw\tessv4_test\batch_1\mastDownload\HLSP\hlsp_qlp_tess_ffi_s0014-0000000014534726_tess_v01_llc\hlsp_qlp_tess_ffi_s0014-0000000014534726_tess_v01_llc.fits
INSTRUMENT/JUNK,lightcurves_raw\tessv4_test\batch_1\mastDownload\HLSP\hlsp_qlp_tess_ffi_s0015-0000000014534726_tess_v01_llc\hlsp_qlp_tess_ffi_s0015-0000000014534726_tess_v01_llc.fits
INSTRUMENT/JUNK,lightcurves_raw\tessv4_test\batch_1\mastDownload\HLSP\hlsp_qlp_tess_ffi_s0014-0000000014539988_tess_v01_llc\hlsp_qlp_tess_ffi_s0014-0000000014539988_tess_v01_llc.fits
INSTRUMENT/JUNK,lightcurves_raw\tessv4_test\batch_1\mastDownload\HLSP\hlsp_qlp_tess_ffi_s0015-0000000014539988_tess_v01_llc\hlsp_qlp_tess_ffi_s0015-0000000014539988_tess_v01_llc.fits
INSTRUMENT/JUNK,lightcurves_raw\tessv4_test\batch_1\mastDownload\HLSP\hlsp_qlp_tess_ffi_s0014-0000000014540215_tess_v01_llc\hlsp_qlp_tess_ffi_s0014-0000000014540215_tess_v01_llc.fits
INSTRUMENT/JUNK,lightcurves_raw\tessv4_test\batch_1\mastDownload\HLSP\hlsp_qlp_tess_ffi_s0015-0000000014540215_tess_v01_llc\hlsp_qlp_tess_ffi_s0015-0000000014540215_tess_v01_llc.fits
CONTACT_ROT,lightcurves_raw\tessv4_test\batch_1\mastDownload\HLSP\hlsp_qlp_tess_ffi_s0014-0000000014631173_tess_v01_llc\hlsp_qlp_tess_ffi_s0014-0000000014631173_tess_v01_llc.fits
CONTACT_ROT,lightcurves_raw\tessv4_test\batch_1\mastDownload\HLSP\hlsp_qlp_tess_ffi_s0015-0000000014631173_tess_v01_llc\hlsp_qlp_tess_ffi_s0015-0000000014631173_tess_v01_llc.fits
ECLIPSE,lightcurves_raw\tessv4_test\batch_1\mastDownload\HLSP\hlsp_qlp_tess_ffi_s0014-0000000014631897_tess_v01_llc\hlsp_qlp_tess_ffi_s0014-0000000014631897_tess_v01_llc.fits
ECLIPSE,lightcurves_raw\tessv4_test\batch_1\mastDownload\HLSP\hlsp_qlp_tess_ffi_s0015-0000000014631897_tess_v01_llc\hlsp_qlp_tess_ffi_s0015-0000000014631897_tess_v01_llc.fits
INSTRUMENT/JUNK,lightcurves_raw\tessv4_test\batch_1\mastDownload\HLSP\hlsp_qlp_tess_ffi_s0014-0000000014726817_tess_v01_llc\hlsp_qlp_tess_ffi_s0014-0000000014726817_tess_v01_llc.fits
INSTRUMENT/JUNK,lightcurves_raw\tessv4_test\batch_1\mastDownload\HLSP\hlsp_qlp_tess_ffi_s0015-0000000014726817_tess_v01_llc\hlsp_qlp_tess_ffi_s0015-0000000014726817_tess_v01_llc.fits
SOLARLIKE,lightcurves_raw\tessv4_test\batch_1\mastDownload\HLSP\hlsp_qlp_tess_ffi_s0015-0000000014906983_tess_v01_llc\hlsp_qlp_tess_ffi_s0015-0000000014906983_tess_v01_llc.fits
SOLARLIKE,lightcurves_raw\tessv4_test\batch_1\mastDownload\HLSP\hlsp_qlp_tess_ffi_s0015-0000000014907212_tess_v01_llc\hlsp_qlp_tess_ffi_s0015-0000000014907212_tess_v01_llc.fits
DSCT_BCEP,lightcurves_raw\tessv4_test\batch_1\mastDownload\HLSP\hlsp_qlp_tess_ffi_s0014-0000000014949670_tess_v01_llc\hlsp_qlp_tess_ffi_s0014-0000000014949670_tess_v01_llc.fits
DSCT_BCEP,lightcurves_raw\tessv4_test\batch_1\mastDownload\HLSP\hlsp_qlp_tess_ffi_s0015-0000000014949670_tess_v01_llc\hlsp_qlp_tess_ffi_s0015-0000000014949670_tess_v01_llc.fits
INSTRUMENT/JUNK,lightcurves_raw\tessv4_test\batch_1\mastDownload\HLSP\hlsp_qlp_tess_ffi_s0015-0000000014973955_tess_v01_llc\hlsp_qlp_tess_ffi_s0015-0000000014973955_tess_v01_llc.fits
INSTRUMENT/JUNK,lightcurves_raw\tessv4_test\batch_1\mastDownload\HLSP\hlsp_qlp_tess_ffi_s0015-0000000014978554_tess_v01_llc\hlsp_qlp_tess_ffi_s0015-0000000014978554_tess_v01_llc.fits
SOLARLIKE,lightcurves_raw\tessv4_test\batch_1\mastDownload\HLSP\hlsp_qlp_tess_ffi_s0015-0000000015037635_tess_v01_llc\hlsp_qlp_tess_ffi_s0015-0000000015037635_tess_v01_llc.fits
INSTRUMENT/JUNK,lightcurves_raw\tessv4_test\batch_1\mastDownload\HLSP\hlsp_qlp_tess_ffi_s0015-0000000015037792_tess_v01_llc\hlsp_qlp_tess_ffi_s0015-0000000015037792_tess_v01_llc.fits
CONTACT_ROT,lightcurves_raw\tessv4_test\batch_1\mastDownload\HLSP\hlsp_qlp_tess_ffi_s0015-0000000015103586_tess_v01_llc\hlsp_qlp_tess_ffi_s0015-0000000015103586_tess_v01_llc.fits
CONTACT_ROT,lightcurves_raw\tessv4_test\batch_1\mastDownload\HLSP\hlsp_qlp_tess_ffi_s0014-0000000015124839_tess_v01_llc\hlsp_qlp_tess_ffi_s0014-0000000015124839_tess_v01_llc.fits
CONTACT_ROT,lightcurves_raw\tessv4_test\batch_1\mastDownload\HLSP\hlsp_qlp_tess_ffi_s0015-0000000015124839_tess_v01_llc\hlsp_qlp_tess_ffi_s0015-0000000015124839_tess_v01_llc.fits
ECLIPSE,lightcurves_raw\tessv4_test\batch_1\mastDownload\HLSP\hlsp_qlp_tess_ffi_s0014-0000000015127886_tess_v01_llc\hlsp_qlp_tess_ffi_s0014-0000000015127886_tess_v01_llc.fits
ECLIPSE,lightcurves_raw\tessv4_test\batch_1\mastDownload\HLSP\hlsp_qlp_tess_ffi_s0015-0000000015127886_tess_v01_llc\hlsp_qlp_tess_ffi_s0015-0000000015127886_tess_v01_llc.fits
SOLARLIKE,lightcurves_raw\tessv4_test\batch_1\mastDownload\HLSP\hlsp_qlp_tess_ffi_s0014-0000000015246650_tess_v01_llc\hlsp_qlp_tess_ffi_s0014-0000000015246650_tess_v01_llc.fits
SOLARLIKE,lightcurves_raw\tessv4_test\batch_1\mastDownload\HLSP\hlsp_qlp_tess_ffi_s0015-0000000015246650_tess_v01_llc\hlsp_qlp_tess_ffi_s0015-0000000015246650_tess_v01_llc.fits
